instance,algorithm,avg_objective,std_objective,best_objective,best_distance,vehicles_used,feasible,vehicle_limit,capacity
C202,ACS,1999.7036986427993,0.0,1999.7036986427993,1999.7036986427993,5,True,25,700.0
C202,MEAF,1688.4903302674118,24.606564526948773,1647.593885841223,1647.593885841223,6,True,25,700.0
C203,GA,1221.5499637999721,47.5068760699527,1142.100777153474,1142.100777153474,6,True,25,700.0
C203,PSO,1776.5117439545004,23.267568284851684,1696.6815262952111,1696.6815262952111,4,True,25,700.0
C203,ACS,1792.5552633405512,0.0,1792.5552633405512,1792.5552633405512,4,True,25,700.0
C203,MEAF,1507.7609819585443,18.11710483206712,1467.2164476243543,1467.2164476243543,5,True,25,700.0
C204,GA,1248.068284940343,39.6327116263163,1182.8487819316751,1182.8487819316751,5,True,25,700.0
C204,PSO,2165.4932258054064,51.72822053657272,2039.1887712724695,2039.1887712724695,5,True,25,700.0
C204,ACS,1901.1270397373414,60.40536069926067,1752.1060402982512,1752.1060402982512,9,True,25,700.0
C204,MEAF,1724.925455890471,46.17415827264702,1635.6117979957512,1635.6117979957512,11,True,25,700.0
C205,GA,1014.6508345664926,102.50303225105615,863.1475970009756,863.1475970009756,6,True,25,700.0
C205,PSO,1561.8785854757482,5.5722793785528175,1541.0267262619188,1541.0267262619188,6,True,25,700.0
C205,ACS,1564.3417152544575,2.2737367544323206e-13,1564.3417152544573,1564.3417152544573,4,True,25,700.0
C205,MEAF,1239.4909725666903,38.19714714009951,1138.5842117483096,1138.5842117483096,6,True,25,700.0
C206,GA,1033.3464271474932,80.16323033740709,923.758974354684,923.758974354684,5,True,25,700.0
C206,PSO,1472.9593040254092,11.626995706551336,1432.6346790262412,1432.6346790262412,4,True,25,700.0
C206,ACS,1478.8091902313795,2.2737367544323206e-13,1478.8091902313797,1478.8091902313797,4,True,25,700.0
C206,MEAF,1312.9309201033107,21.152331247954535,1274.603516329759,1274.603516329759,5,True,25,700.0
C207,GA,975.9024766919787,41.90286324946023,906.2932267807803,906.2932267807803,6,True,25,700.0
C207,PSO,1372.2911055072104,29.583916041091786,1301.761352180708,1301.761352180708,5,True,25,700.0
C207,ACS,1388.3332778968531,2.2737367544323206e-13,1388.333277896853,1388.333277896853,5,True,25,700.0
C207,MEAF,1210.1103012345939,20.208107426669685,1166.696393779525,1166.696393779525,5,True,25,700.0
C208,GA,1097.3923845342908,73.02362235353147,967.263434274693,967.263434274693,6,True,25,700.0
C208,PSO,1456.0655163205963,24.605085766588978,1377.2361237335922,1377.2361237335922,7,True,25,700.0
C208,ACS,1466.661715960859,4.547473508864641e-13,1466.6617159608595,1466.6617159608595,6,True,25,700.0
C208,MEAF,1271.3992467851829,20.60094315361918,1221.483883720431,1221.483883720431,5,True,25,700.0
R101,GA,2919.910649994838,387.31065573294626,2256.9369661807596,2256.9369661807596,26,False,25,200.0
R101,PSO,8625.897722901318,156.08518146768873,8086.991518534604,8086.991518534604,44,False,25,200.0
R101,ACS,8890.843067051896,1.8189894035458565e-12,8890.843067051894,8890.843067051894,47,False,25,200.0
R101,MEAF,5809.363609023147,255.6149409993181,5096.2082644267175,5096.2082644267175,34,False,25,200.0
R102,GA,2172.221050343594,255.8595065977073,1804.702745593446,1804.702745593446,25,True,25,200.0
R102,PSO,8488.332668069077,103.36835012081649,8286.236791607225,8286.236791607225,45,False,25,200.0
R102,ACS,7736.3568944942135,332.39164371918025,7016.815682666201,7016.815682666201,41,False,25,200.0
R102,MEAF,4919.130112736837,197.68020677829404,4292.931484747636,4292.931484747636,31,False,25,200.0
R103,GA,1656.1704697733433,31.626945719049218,1602.7046733522598,1602.7046733522598,20,True,25,200.0
R103,PSO,5449.142706719697,173.40041902708694,4986.212035037896,4986.212035037896,34,False,25,200.0
R103,ACS,4610.080505844996,229.2167576436123,3974.959424774521,3974.959424774521,31,False,25,200.0
R103,MEAF,2424.5252777475,73.55501006479331,2320.480920220701,2320.480920220701,24,True,25,200.0
R104,GA,1461.7969559584178,56.53318294645556,1332.394460793937,1332.394460793937,16,True,25,200.0
R104,PSO,3383.0373186147563,104.4650362585145,3130.4734770822547,3130.4734770822547,26,False,25,200.0
R104,ACS,2194.0003383439216,78.0380789311811,2008.279432878549,2008.279432878549,21,True,25,200.0
